Date,ASII.JK,BBCA.JK,BMRI.JK,KLBF.JK,SMGR.JK,TLKM.JK
2021-06-10,3659.79345703125,5672.2822265625,2385.260498046875,1324.76220703125,9087.4609375,2814.44091796875
2021-06-11,3575.075439453125,5543.75634765625,2414.114501953125,1333.9620361328125,9087.4609375,2806.353515625
2021-06-14,3507.302001953125,5492.34619140625,2414.114501953125,1320.162353515625,8955.439453125,2757.828857421875
2021-06-15,3490.3583984375,5543.75634765625,2433.350341796875,1333.9620361328125,8977.443359375,2782.09130859375
2021-06-16,3490.3583984375,5470.9248046875,2414.114501953125,1310.962646484375,8977.443359375,2757.828857421875
2021-06-17,3456.4716796875,5423.7978515625,2385.260498046875,1292.563232421875,8713.400390625,2709.303955078125
2021-06-18,3388.697265625,5419.5146484375,2385.260498046875,1251.164306640625,8713.400390625,2709.303955078125
2021-06-21,3334.478271484375,5355.25146484375,2317.934326171875,1361.56103515625,8801.4150390625,2668.86669921875
2021-06-22,3334.478271484375,5432.3671875,2375.642578125,1306.3626708984375,8537.373046875,2668.86669921875
2021-06-23,3341.255615234375,5338.1142578125,2317.934326171875,1251.164306640625,8537.373046875,2725.478759765625
2021-06-24,3348.032958984375,5320.97802734375,2298.69873046875,1260.364013671875,8559.375,2628.42919921875
2021-06-25,3334.478271484375,5303.8408203125,2269.844482421875,1246.5643310546875,8559.375,2628.42919921875
2021-06-28,3192.153076171875,5188.16796875,2192.900634765625,1264.9638671875,8207.3193359375,2563.729248046875
2021-06-29,3280.259033203125,5179.59912109375,2221.7548828125,1264.9638671875,8427.3544921875,2555.641845703125
2021-06-30,3348.032958984375,5162.46240234375,2269.844482421875,1287.963134765625,8361.34375,2547.554443359375
2021-07-01,3405.640869140625,5162.46240234375,2298.69873046875,1287.963134765625,8273.3310546875,2515.204345703125
2021-07-02,3388.697265625,5226.72509765625,2289.080810546875,1287.963134765625,8185.31494140625,2482.854736328125
2021-07-05,3348.032958984375,5235.29443359375,2250.608642578125,1278.7635498046875,8097.30224609375,2458.59228515625
2021-07-06,3320.923095703125,5188.16796875,2221.7548828125,1260.364013671875,8185.31494140625,2434.329833984375
2021-07-07,3320.923095703125,5196.736328125,2212.136962890625,1246.5643310546875,7877.2666015625,2450.504638671875
2021-07-08,3307.368896484375,5153.89404296875,2269.844482421875,1218.9652099609375,7789.2509765625,2434.329833984375
2021-07-09,3327.700927734375,5158.177734375,2221.7548828125,1214.3653564453125,7833.2587890625,2555.641845703125
2021-07-12,3334.478271484375,5286.7041015625,2231.372802734375,1228.164794921875,7745.244140625,2531.379638671875
2021-07-13,3320.923095703125,5179.59912109375,2221.7548828125,1223.5650634765625,7569.21630859375,2482.854736328125
2021-07-14,3205.7080078125,5132.47314453125,2192.900634765625,1255.76416015625,7503.2060546875,2474.767333984375
2021-07-15,3259.92724609375,5239.578125,2260.2265625,1255.76416015625,7459.19873046875,2531.379638671875
2021-07-16,3307.368896484375,5235.29443359375,2260.2265625,1278.7635498046875,7789.2509765625,2563.729248046875
2021-07-19,3239.5947265625,5145.326171875,2212.136962890625,1278.7635498046875,7569.21630859375,2604.1669921875
2021-07-21,3300.591552734375,5149.6103515625,2279.462646484375,1241.9644775390625,7789.2509765625,2596.0791015625
2021-07-22,3375.14306640625,5273.85205078125,2327.552490234375,1246.5643310546875,7811.2548828125,2636.5166015625
2021-07-23,3354.810302734375,5171.03125,2298.69873046875,1237.36474609375,7657.23193359375,2563.729248046875
2021-07-26,3232.8173828125,5145.326171875,2231.372802734375,1237.36474609375,7525.2099609375,2579.904296875
2021-07-27,3226.040283203125,5145.326171875,2240.990478515625,1232.7647705078125,7371.1845703125,2644.60400390625
2021-07-28,3192.153076171875,5123.90478515625,2269.844482421875,1209.765380859375,7217.16015625,2579.904296875
2021-07-29,3151.48876953125,5175.3154296875,2212.136962890625,1191.365966796875,7063.13525390625,2612.25439453125
2021-07-30,3198.93017578125,5115.33642578125,2192.900634765625,1159.1668701171875,6777.0888671875,2620.341796875
2021-08-02,3266.70458984375,5106.76806640625,2183.28271484375,1200.565673828125,6865.10302734375,2676.954345703125
2021-08-03,3348.032958984375,5265.28369140625,2221.7548828125,1209.765380859375,7305.17431640625,2693.12890625
2021-08-04,3320.923095703125,5243.8623046875,2240.990478515625,1200.565673828125,7437.1953125,2725.478759765625
2021-08-05,3314.146240234375,5398.09375,2327.552490234375,1191.365966796875,7393.1884765625,2701.21630859375
2021-08-06,3348.032958984375,5278.13623046875,2298.69873046875,1168.3665771484375,7437.1953125,2685.04150390625
2021-08-09,3293.814208984375,5312.41015625,2231.372802734375,1140.7674560546875,7349.18115234375,2628.42919921875
2021-08-10,3327.700927734375,5398.09375,2231.372802734375,1200.565673828125,7459.19873046875,2612.25439453125
2021-08-12,3348.032958984375,5398.09375,2279.462646484375,1186.7659912109375,7723.24267578125,2709.303955078125
2021-08-13,3405.640869140625,5492.34619140625,2308.31640625,1195.9659423828125,7811.2548828125,2668.86669921875
2021-08-16,3439.528076171875,5500.91552734375,2298.69873046875,1195.9659423828125,7965.27978515625,2701.21630859375
2021-08-18,3541.1884765625,5655.146484375,2327.552490234375,1205.16552734375,8295.3330078125,2765.91650390625
2021-08-19,3490.3583984375,5655.146484375,2250.608642578125,1149.967041015625,8009.287109375,2741.65380859375
2021-08-20,3456.4716796875,5655.146484375,2269.844482421875,1191.365966796875,8251.326171875,2749.741455078125
2021-08-23,3456.4716796875,5646.5771484375,2298.69873046875,1195.9659423828125,8405.3515625,2782.09130859375
2021-08-24,3439.528076171875,5655.146484375,2240.990478515625,1191.365966796875,8251.326171875,2749.741455078125
2021-08-25,3490.3583984375,5655.146484375,2289.080810546875,1232.7647705078125,8295.3330078125,2725.478759765625
2021-08-26,3456.4716796875,5620.8720703125,2240.990478515625,1237.36474609375,7723.24267578125,2717.391357421875
2021-08-27,3422.583984375,5578.0302734375,2231.372802734375,1255.76416015625,7789.2509765625,2685.04150390625
2021-08-30,3575.075439453125,5625.15576171875,2289.080810546875,1283.36328125,8031.29052734375,2749.741455078125
2021-08-31,3541.1884765625,5612.3037109375,2346.78857421875,1237.36474609375,8141.30859375,2749.741455078125
2021-09-01,3507.302001953125,5625.15576171875,2308.31640625,1255.76416015625,7943.2763671875,2701.21630859375
2021-09-02,3558.13232421875,5603.7353515625,2327.552490234375,1274.1636962890625,8053.29345703125,2725.478759765625
2021-09-03,3625.90576171875,5655.146484375,2356.406494140625,1324.76220703125,8097.30224609375,2741.65380859375
2021-09-06,3676.73681640625,5633.724609375,2385.260498046875,1361.56103515625,8097.30224609375,2741.65380859375
2021-09-07,3625.90576171875,5629.44091796875,2404.496337890625,1343.16162109375,7855.2626953125,2733.566162109375
2021-09-08,3558.13232421875,5518.0517578125,2404.496337890625,1343.16162109375,7525.2099609375,2693.12890625
2021-09-09,3693.680419921875,5629.44091796875,2442.96826171875,1370.7608642578125,7701.23828125,2741.65380859375
2021-09-10,3676.73681640625,5586.59912109375,2385.260498046875,1352.3614501953125,7833.2587890625,2693.12890625
2021-09-13,3693.680419921875,5616.587890625,2366.024658203125,1352.3614501953125,7833.2587890625,2709.303955078125
2021-09-14,3744.510986328125,5608.01953125,2346.78857421875,1361.56103515625,7833.2587890625,2782.09130859375
2021-09-15,3659.79345703125,5565.177734375,2356.406494140625,1370.7608642578125,7833.2587890625,2790.1787109375
2021-09-16,3642.84912109375,5569.46142578125,2366.024658203125,1324.76220703125,7679.234375,2782.09130859375
2021-09-17,3676.73681640625,5586.59912109375,2327.552490234375,1333.9620361328125,7635.2275390625,2854.878662109375
2021-09-20,3592.019287109375,5642.29296875,2317.934326171875,1315.5625,7481.203125,2846.791015625
2021-09-21,3541.1884765625,5560.89306640625,2298.69873046875,1292.563232421875,7415.1923828125,2854.878662109375
2021-09-22,3575.075439453125,5616.587890625,2337.17041015625,1306.3626708984375,7525.2099609375,2903.4033203125
2021-09-23,3490.3583984375,5638.0087890625,2337.17041015625,1283.36328125,7481.203125,2879.140625
2021-09-24,3490.3583984375,5642.29296875,2298.69873046875,1287.963134765625,7305.17431640625,2879.140625
2021-09-27,3507.302001953125,5638.0087890625,2269.844482421875,1287.963134765625,7217.16015625,2846.791015625
2021-09-28,3439.528076171875,5586.59912109375,2289.080810546875,1269.5635986328125,6909.11083984375,2854.878662109375
2021-09-29,3608.962158203125,5638.0087890625,2308.31640625,1297.1629638671875,7459.19873046875,2854.878662109375
2021-09-30,3727.567138671875,5997.8818359375,2366.024658203125,1315.5625,7217.16015625,2984.278076171875
