Date,ASII.JK,BBCA.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK
2022-08-01,4539.54443359375,6546.68505859375,3214.412353515625,8180.39111328125,1490.155517578125,5827.63671875,3604.813232421875,19710.169921875
2022-08-02,4539.54443359375,6633.9736328125,3295.024658203125,8453.541015625,1494.8564453125,5827.63671875,3730.562744140625,20138.984375
2022-08-03,4627.18017578125,6655.7958984375,3325.25439453125,8288.7099609375,1494.8564453125,5850.22412109375,3772.4794921875,20797.525390625
2022-08-04,4627.18017578125,6808.5517578125,3325.25439453125,8406.4462890625,1499.55712890625,6098.68896484375,3814.3955078125,20338.076171875
2022-08-05,4644.70751953125,6874.01904296875,3325.25439453125,8288.7099609375,1494.8564453125,6143.86474609375,3898.228515625,19909.263671875
2022-08-08,4697.28857421875,6874.01904296875,3365.560546875,8288.7099609375,1518.3603515625,6324.56640625,3940.144775390625,19848.00390625
2022-08-09,4732.34326171875,6895.8408203125,3415.943359375,8218.06640625,1490.155517578125,6279.39111328125,3889.844970703125,19832.69140625
2022-08-10,4802.4521484375,6895.8408203125,3466.325927734375,8218.06640625,1504.258056640625,6324.56640625,3822.779052734375,19817.375
2022-08-11,4872.56005859375,6939.4853515625,3436.096435546875,8359.3525390625,1490.155517578125,6256.80322265625,3831.162353515625,19541.708984375
2022-08-12,4872.56005859375,6917.66357421875,3415.943359375,8170.9716796875,1518.3603515625,6347.154296875,3814.3955078125,19357.931640625
2022-08-15,4819.9794921875,6939.4853515625,3405.86669921875,8359.3525390625,1499.55712890625,6256.80322265625,3730.562744140625,19909.263671875
2022-08-16,4890.08837890625,6961.30810546875,3436.096435546875,8241.6142578125,1537.1636962890625,6211.6279296875,3697.029541015625,19848.00390625
2022-08-18,4890.08837890625,6983.1298828125,3466.325927734375,8265.162109375,1537.1636962890625,6166.4521484375,3814.3955078125,19602.966796875
2022-08-19,4890.08837890625,6895.8408203125,3426.019775390625,8194.51953125,1513.6595458984375,5940.5751953125,3856.312255859375,19388.55859375
2022-08-22,4855.033203125,6983.1298828125,3436.096435546875,8218.06640625,1513.6595458984375,5963.1630859375,3898.228515625,19480.447265625
2022-08-23,4890.08837890625,6895.8408203125,3476.40234375,8288.7099609375,1527.761962890625,6030.92626953125,3906.61181640625,19679.54296875
2022-08-24,4942.66943359375,6939.4853515625,3476.40234375,8265.162109375,1518.3603515625,5940.5751953125,3982.061279296875,19985.841796875
2022-08-25,4890.08837890625,7048.59716796875,3456.24951171875,8265.162109375,1513.6595458984375,5917.9873046875,3831.162353515625,20184.931640625
2022-08-26,4819.9794921875,6983.1298828125,3426.019775390625,8218.06640625,1523.061279296875,5917.9873046875,3764.095947265625,20276.8203125
2022-08-29,4784.9248046875,7114.06494140625,3446.1728515625,8335.8046875,1532.462890625,5895.39990234375,3789.24560546875,20215.560546875
2022-08-30,4837.50634765625,7135.88623046875,3486.47900390625,8218.06640625,1532.462890625,5917.9873046875,3755.712890625,20414.654296875
2022-08-31,4890.08837890625,7157.70849609375,3567.091064453125,7817.75927734375,1579.470947265625,5963.1630859375,3822.779052734375,20736.263671875
2022-09-01,4855.033203125,7114.06494140625,3597.32080078125,8194.51953125,1555.966796875,5827.63671875,3839.54541015625,20384.0234375
2022-09-02,4855.033203125,7179.53076171875,3567.091064453125,8218.06640625,1574.77001953125,5805.048828125,3856.312255859375,20766.892578125
2022-09-05,4819.9794921875,7223.17529296875,3607.397216796875,8194.51953125,1541.8643798828125,5895.39990234375,3873.07861328125,21042.560546875
2022-09-06,4837.50634765625,7223.17529296875,3557.0146484375,8147.423828125,1560.667724609375,5895.39990234375,3780.8623046875,21747.041015625
2022-09-07,4662.23486328125,7310.46484375,3577.16796875,8053.2353515625,1565.368408203125,5917.9873046875,3764.095947265625,21486.693359375
2022-09-08,4662.23486328125,7288.64208984375,3607.397216796875,8029.6875,1565.368408203125,5917.9873046875,3822.779052734375,21073.189453125
2022-09-09,4749.87060546875,7310.46484375,3657.780029296875,7959.044921875,1598.2740478515625,5963.1630859375,3856.312255859375,21011.9296875
2022-09-12,4890.08837890625,7310.46484375,3698.085693359375,8100.3291015625,1645.2822265625,5985.7509765625,3806.01220703125,21134.447265625
2022-09-13,5047.8330078125,7441.39794921875,3808.927734375,8029.6875,1687.58935546875,6076.1015625,3789.24560546875,21042.560546875
2022-09-14,5012.77783203125,7419.57568359375,3748.46875,8029.6875,1687.58935546875,6008.33837890625,3755.712890625,20828.15234375
2022-09-15,4942.66943359375,7637.79833984375,3768.621826171875,8100.3291015625,1725.1959228515625,5985.7509765625,3772.4794921875,21379.484375
2022-09-16,4837.50634765625,7375.93115234375,3667.8564453125,8147.423828125,1786.3062744140625,6211.6279296875,3697.029541015625,21027.24609375
2022-09-19,4995.25146484375,7550.509765625,3718.2392578125,8194.51953125,1762.80224609375,6324.56640625,3772.4794921875,21011.9296875
2022-09-20,5030.3056640625,7463.22021484375,3708.16259765625,8359.3525390625,1739.29833984375,6505.26806640625,3755.712890625,20920.04296875
2022-09-21,5012.77783203125,7397.75439453125,3738.392578125,8194.51953125,1729.8966064453125,6505.26806640625,3713.796142578125,21027.24609375
2022-09-22,5030.3056640625,7397.75439453125,3708.16259765625,8312.2568359375,1743.9990234375,6573.03125,3713.796142578125,21502.00390625
2022-09-23,5012.77783203125,7310.46484375,3708.16259765625,8477.0888671875,1734.597412109375,6708.55859375,3671.8798828125,20828.15234375
