Date,VQE,Nash,Benchmark
2022-03-29,196068093.85224384,196068093.85224384,167328243.19004858
2022-03-30,189697628.68370456,189697628.68370456,164007888.0614079
2022-03-31,190405459.56697375,190405459.56697375,165153487.20316213
2022-04-01,198899379.04267043,198899379.04267043,169454667.82379127
2022-04-04,198899379.04267043,198899379.04267043,169265743.97828194
2022-04-05,212348140.2630182,212348140.2630182,176674222.5948838
2022-04-06,217302905.32236898,217302905.32236898,178270117.173405
2022-04-07,215887269.11759737,215887269.11759737,177490289.9179348
2022-04-08,223673332.14825812,223673332.14825812,182535057.7264533
2022-04-11,222257695.9434865,222257695.9434865,180810632.37916762
2022-04-12,222257695.9434865,222257695.9434865,181377395.46140313
2022-04-13,237122067.80683914,237122067.80683914,189565687.25234166
2022-04-14,234290718.71199563,234290718.71199563,187250307.79740208
2022-04-18,232875082.50722402,232875082.50722402,186470480.5419319
2022-04-19,231459395.1789189,231459395.1789189,185123866.26910537
2022-04-20,228628097.2076089,228628097.2076089,183753117.29539454
2022-04-21,231459395.1789189,231459395.1789189,187390905.91660872
2022-04-22,227212461.0028373,227212461.0028373,184673570.8323384
2022-04-25,227212461.0028373,227212461.0028373,185618168.9241539
2022-04-26,223673332.14825812,223673332.14825812,184613173.52844736
2022-04-27,224381163.0315273,224381163.0315273,185569861.50613093
2022-04-28,236414211.36180317,236414211.36180317,191631703.3144803
2022-05-09,223673332.14825812,223673332.14825812,180645857.31567615
2022-05-10,218718541.5271406,218718541.5271406,177349672.09075356
2022-05-11,222965501.26498896,222965501.26498896,180633780.11124668
2022-05-12,222965501.26498896,222965501.26498896,177799985.83580026
2022-05-13,227212461.0028373,227212461.0028373,180517330.7740579
2022-05-17,238421985.89350164,238421985.89350164,187259055.3225574
2022-05-18,236200693.92408162,236200693.92408162,187357847.7750536
2022-05-19,230277189.02817255,230277189.02817255,183150194.8235442
2022-05-20,245086015.17236215,245086015.17236215,190930049.07461762
2022-05-23,233238928.69524372,233238928.69524372,184214956.3577351
2022-05-24,236941116.05996606,236941116.05996606,186065445.32332557
2022-05-25,229536741.3305214,229536741.3305214,182175543.54663533
2022-05-27,233979350.83112812,233979350.83112812,186134183.1910335
2022-05-30,226574950.53991672,226574950.53991672,182055343.48770046
2022-05-31,242124198.8199907,242124198.8199907,191943348.41758156
2022-06-02,246566885.0058977,246566885.0058977,193068240.25708008
2022-06-03,260635263.45243612,260635263.45243612,201006965.16856942
2022-06-06,256192577.2665291,256192577.2665291,197426126.7446431
2022-06-07,270260955.71306753,270260955.71306753,204609168.95553386
2022-06-08,268780111.44129866,268780111.44129866,205493693.06657583
2022-06-09,266558768.3483452,266558768.3483452,203514354.23624957
2022-06-10,253971336.42064264,253971336.42064264,195446831.55741233
2022-06-13,236200693.92408162,236200693.92408162,185657571.20978573
2022-06-14,241383827.8076398,241383827.8076398,188890636.26351786
2022-06-15,225094055.1446144,225094055.1446144,179350370.9147228
2022-06-16,226574950.53991672,226574950.53991672,182055343.48770046
2022-06-17,216208785.01986742,216208785.01986742,175778210.45886442
2022-06-20,216949232.71751857,216949232.71751857,177130696.74535325
2022-06-21,224353658.57049674,224353658.57049674,181398470.1481829
2022-06-22,224353658.57049674,224353658.57049674,180264952.43800434
2022-06-23,217689654.853403,217689654.853403,176782892.3854407
2022-06-24,219910972.38458973,219910972.38458973,177628703.65160108
2022-06-27,219170550.24870533,219170550.24870533,176276227.21909955
2022-06-28,218430076.9892874,218430076.9892874,175490489.9337127
2022-06-29,212506597.65514508,212506597.65514508,172038521.0824968
2022-06-30,211766162.7383773,211766162.7383773,171441724.5371733
2022-07-01,201399958.87567785,201399958.87567785,165731325.01458007
2022-07-04,205102171.80216694,205102171.80216694,166259386.50561616
2022-07-05,213247032.57191288,213247032.57191288,172257486.8453865
2022-07-06,205102171.80216694,205102171.80216694,168148586.9163933
2022-07-07,205102171.80216694,205102171.80216694,166637229.96948856
2022-07-08,209544794.08365703,209544794.08365703,169462363.1714211
2022-07-11,209544794.08365703,209544794.08365703,169273447.78020424
2022-07-12,216208785.01986742,216208785.01986742,173322255.42014417
2022-07-13,216949232.71751857,216949232.71751857,172407706.28627586
2022-07-14,216949232.71751857,216949232.71751857,172596621.67749274
2022-07-15,204361736.88539913,204361736.88539913,165473670.34192958
2022-07-18,206583067.19746926,206583067.19746926,167830845.59556147
2022-07-19,218430076.9892874,218430076.9892874,174545891.84189722
2022-07-20,223613159.74931207,223613159.74931207,179101361.83475775
2022-07-21,223613159.74931207,223613159.74931207,179101361.83475775
2022-07-22,224353658.57049674,224353658.57049674,178942510.88231647
2022-07-25,229536741.3305214,229536741.3305214,181608784.69154605
2022-07-26,233979350.83112812,233979350.83112812,184056071.61618567
2022-07-27,242864697.6411754,242864697.6411754,189139631.26234937
2022-07-28,242864697.6411754,242864697.6411754,189328550.88071245
2022-07-29,240643328.98645514,240643328.98645514,188104872.21555886
2022-08-01,248047729.27766654,248047729.27766654,193317233.85621667
2022-08-02,235460271.78819722,235460271.78819722,187138893.27987683
2022-08-03,245086015.17236215,245086015.17236215,192630321.41273928
2022-08-04,236200693.92408162,236200693.92408162,189058132.79461387
2022-08-05,231758058.86170813,231758058.86170813,187177590.64393002
2022-08-08,228055845.93521905,228055845.93521905,185138163.75169674
2022-08-09,231758058.86170813,231758058.86170813,187366506.0351469
2022-08-10,232498480.99759257,232498480.99759257,187774380.14868677
2022-08-11,233238928.69524372,233238928.69524372,188560111.8072325
2022-08-12,236200693.92408162,236200693.92408162,190002730.88642934
2022-08-15,233979350.83112812,233979350.83112812,188967985.92077237
2022-08-16,233238928.69524372,233238928.69524372,188749031.4255956
2022-08-18,240643328.98645514,240643328.98645514,193016790.74729174
2022-08-19,240643328.98645514,240643328.98645514,192261108.04669315
