Date,ADRO.JK,BBCA.JK
2020-09-08,369.4036560058594,5336.87841796875
2020-09-09,357.4873352050781,5261.05859375
2020-09-10,333.6549377441406,4894.595703125
2020-09-11,351.529296875,4974.62841796875
2020-09-14,357.4873352050781,5096.7822265625
2020-09-15,354.5083312988281,4936.71826171875
2020-09-16,341.1025695800781,4844.04931640625
2020-09-17,336.6339416503906,4848.26171875
2020-09-18,341.1025695800781,4742.95654296875
2020-09-21,341.1025695800781,4721.8955078125
2020-09-22,345.5711364746094,4591.31591796875
2020-09-23,345.5711364746094,4637.65087890625
2020-09-24,336.6339416503906,4587.10400390625
2020-09-25,339.6129455566406,4726.1083984375
2020-09-28,336.6339416503906,4646.07568359375
2020-09-29,347.0606994628906,4637.65087890625
2020-09-30,338.1234436035156,4566.04345703125
2020-10-01,351.529296875,4692.40966796875
2020-10-02,339.6129455566406,4637.65087890625
2020-10-05,335.1444091796875,4650.28759765625
2020-10-06,335.1444091796875,4801.92724609375
2020-10-07,336.6339416503906,4848.26171875
2020-10-08,336.6339416503906,4869.3232421875
2020-10-09,332.1653747558594,4865.1103515625
2020-10-12,330.6758117675781,4932.505859375
2020-10-13,342.592041015625,4932.505859375
2020-10-14,353.0188293457031,4970.41650390625
2020-10-15,344.08160400390625,4873.53515625
2020-10-16,363.4455261230469,4852.47412109375
2020-10-19,363.4455261230469,4970.41650390625
2020-10-20,360.4664611816406,4890.3837890625
2020-10-21,357.4873352050781,4869.3232421875
2020-10-22,345.5711364746094,4886.17138671875
2020-10-23,341.1025695800781,4860.8984375
2020-10-26,341.1025695800781,4898.80810546875
2020-10-27,335.1444091796875,4877.74755859375
2020-11-02,336.6339416503906,4903.02099609375
2020-11-03,341.1025695800781,4961.99169921875
2020-11-04,330.6758117675781,4903.02099609375
2020-11-05,339.6129455566406,5181.02734375
2020-11-06,339.6129455566406,5307.3935546875
2020-11-09,336.6339416503906,5294.75634765625
2020-11-10,339.6129455566406,5459.033203125
2020-11-11,358.9768371582031,5509.580078125
2020-11-12,350.03973388671875,5408.48681640625
2020-11-13,347.0606994628906,5383.21337890625
2020-11-16,355.9978332519531,5459.033203125
2020-11-17,351.529296875,5518.00390625
2020-11-18,354.5083312988281,5534.8525390625
2020-11-19,369.4036560058594,5572.7626953125
2020-11-20,361.95599365234375,5560.1259765625
2020-11-23,384.2989196777344,5560.1259765625
2020-11-24,387.27801513671875,5530.640625
2020-11-25,387.27801513671875,5400.0625
2020-11-26,405.15234375,5459.033203125
2020-11-27,414.0895080566406,5379.0009765625
2020-11-30,414.0895080566406,5227.36181640625
