Date,Asset_A,Asset_B,pA_00,pA_01,pA_10,pA_11,pB_00,pB_01,pB_10,pB_11
2021-06-10,TLKM.JK,TPIA.JK,2.354840106160704,1.0559333089158491,-1.8278265616498528,-2.5682031782473724,2.8232179534151634,-5.190123856122515,1.8762282746158856,-3.7241875698355
2021-07-09,BBCA.JK,ASII.JK,1.524962692958235,0.9989751247629433,-1.605487597167043,-2.2968483640012534,1.9600863410003877,-1.9338053446866275,1.2445404289814237,-3.597813909692631
2021-07-09,BBCA.JK,TLKM.JK,1.2863611144412814,1.2478265193946525,-2.3679081260799317,-2.0154713390179437,1.674529212338926,-3.0311746112884004,1.336042187111917,-2.2499624427363583
2021-07-09,BBCA.JK,TPIA.JK,1.4812219588235613,1.17426122558964,-1.8156816551070079,-2.2117999479018637,4.1832509430765015,-4.067965581772277,1.7953549478186765,-3.795781046309965
2021-07-09,ASII.JK,TLKM.JK,1.7599501761635237,1.4613546075546935,-2.12804191329304,-3.3570940949613557,2.197642787204371,-2.1729346801630265,0.6932626984930542,-2.5340782523023706
2021-07-09,ASII.JK,TPIA.JK,2.1358328912045925,1.2704852445824135,-2.812788673166675,-3.161936018220073,2.0842269424635305,-2.8309240087131373,3.2693956765108636,-4.530396148879647
2021-07-09,TLKM.JK,TPIA.JK,2.1196925525588624,1.1343162495421413,-1.8637869540361627,-2.6388879562767205,3.4493034773089817,-4.606188414122259,2.028417008469544,-3.6199965183483025
2021-08-10,BBCA.JK,ASII.JK,1.4942143755347155,1.0197602380319586,-2.0228527132300718,-2.3467344851202117,1.5489234680299775,-2.0144661474851406,1.3616837238839579,-4.005961791527793
2021-08-10,BBCA.JK,TLKM.JK,1.2784002647863453,1.2452783890836974,-1.8825863105603704,-2.38116398071969,1.9910840932070464,-2.941162961736938,1.5544307896031262,-2.7339303644826836
2021-08-10,BBCA.JK,TPIA.JK,1.2753136428629408,1.2605848873136931,-1.9698630890015567,-2.412307571811485,3.769732975242802,-4.534315573867997,1.6908633131933186,-4.060873300349394
2021-08-10,ASII.JK,TLKM.JK,1.5415450253401386,1.317317308943894,-3.4847738792109837,-3.2793665638067147,2.32945763721159,-2.458486708626094,1.062251089232881,-2.9187115618368504
2021-08-10,ASII.JK,TPIA.JK,1.4916725228836596,1.4241302300198029,-2.3164051785255477,-3.92188736720246,2.0918280147539283,-3.010902340669302,2.9198725594831276,-5.008752758536366
