Iteration,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Theta_11,Theta_12,Theta_13,Theta_14,Theta_15
41,5.083022035862248,2.5515649619834955,4.686074792895898,6.309551793759695,1.4970888859767943,6.288019648938995,4.692383843581786,3.6361331329618194,1.4265924471456728,3.2326157546849554,1.360005536171109,5.27956345877987,5.1480739269747025,7.124059782324093,2.1659669010613474,1.7192335327587904
42,5.008470172428004,2.626116825417739,4.760626656330142,6.384103657193939,1.5716407494110378,6.362571512373239,4.6178319801475425,3.5615812695275757,1.5011443105799163,3.307167618119199,1.2854536727368655,5.205011595345626,5.222625790408946,7.198611645758337,2.0914150376271037,1.644681669324547
43,5.02136876076398,2.6132182370817634,4.773525244666117,6.371205068857964,1.5845393377470134,6.375470100709214,4.604933391811567,3.5486826811916,1.4882457222439407,3.2942690297832233,1.27255508440089,5.192113007009651,5.209727202072971,7.2115102340943125,2.1043136259630795,1.6317830809885714
44,4.870134779555097,2.7644522182906455,4.9247592258749995,6.219971087649081,1.7357733189558957,6.224236119500332,4.75616737302045,3.397448699982718,1.3370117410350584,3.4455030109921054,1.4237890656097723,5.040879025800768,5.360961183281853,7.362744215303195,1.9530796447541972,1.7830170621974537
45,4.8655301157835975,2.7690568820621446,4.9201545621035,6.215366423877581,1.7311686551843966,6.219631455728832,4.75156270924895,3.402053363754217,1.3324070772635592,3.4501076747636046,1.419184401838273,5.045483689572268,5.365565847053353,7.367348879074695,1.948474980982698,1.7876217259689529
46,4.9104431827633395,2.724143815082403,4.875241495123758,6.260279490857323,1.6862555882046548,6.264544522708574,4.796475776228692,3.3571402967744755,1.377320144243301,3.405194607783863,1.3742713348585314,5.000570622592526,5.410478914033095,7.322435812094953,1.9035619140029563,1.8325347929486946
47,5.0407635886987165,2.85446422101778,4.744921089188381,6.129959084921946,1.8165759941400321,6.134224116773197,4.666155370293315,3.2268198908390984,1.5076405501786783,3.53551501371924,1.5045917407939087,4.870250216657149,5.280158508097718,7.192115406159576,2.0338823199383333,1.962855198884072
48,5.073752229119302,2.8214755805971943,4.777909729608966,6.096970444501361,1.7835873537194464,6.1672127571937825,4.6991440107139,3.2598085312596843,1.4746519097580926,3.5025263732986542,1.5375803812144944,4.903238857077734,5.247169867677132,7.225104046580161,2.0668709603589193,1.9958438393046576
49,5.096987937390713,2.8447112888686057,4.754674021337555,6.07373473622995,1.760351645448035,6.1439770489223715,4.6759083024424895,3.2830442395310957,1.497887618029504,3.479290665027243,1.5608160894859058,4.880003148806323,5.223934159405721,7.248339754851572,2.043635252087508,1.9726081310332462
50,5.066127545102876,2.813850896580769,4.785534413625392,6.104595128517786,1.7294912531601985,6.174837441210208,4.645047910154653,3.3139046318189322,1.5287480103173405,3.4484302727394063,1.5916764817737423,4.91086354109416,5.254794551693558,7.2174793625637355,2.0127748597996713,1.9417477387454096
51,5.085777211962033,2.833500563439926,4.765884746766235,6.08494546165863,1.7098415863010414,6.194487108069365,4.6646975770138095,3.294254964959775,1.5483976771764976,3.4287806058802492,1.5720268149145853,4.930513207953316,5.2744442185527145,7.237129029422892,2.0324245266588283,1.9613974056045667
52,4.98643037712358,2.734153728601473,4.666537911927782,5.985598626820177,1.6104947514625885,6.293833942907818,4.764044411852263,3.194908130121322,1.6477445120149505,3.5281274407187024,1.4726799800761323,4.831166373114863,5.175097383714261,7.137782194584439,2.1317713614972815,1.8620505707661137
53,5.049061914247469,2.796785265725362,4.729169449051671,6.048230163944066,1.5478632143386992,6.231202405783929,4.701412874728374,3.132276592997433,1.5851129748910613,3.4654959035948134,1.5353115172000216,4.893797910238752,5.23772892083815,7.200413731708328,2.1944028986211706,1.924682107890003
54,5.0958426760882025,2.7500045038846284,4.775950210892405,6.095010925784799,1.5010824524979653,6.184421643943195,4.748193636569107,3.1790573548381666,1.6318937367317952,3.512276665435547,1.5820922790407554,4.8470171483980184,5.190948158997417,7.153632969867594,2.147622136780437,1.877901346049269
55,5.110995861288709,2.7348513186841226,4.7607970256918986,6.1101641109853055,1.4859292672974596,6.169268458742689,4.733040451368601,3.1942105400386724,1.6167405515312894,3.527429850636053,1.5669390938402497,4.831863963197512,5.1757949737969104,7.138479784667088,2.1627753219809427,1.8627481608487633
56,5.040771732002405,2.8050754479704265,4.8310211549782025,6.039939981699002,1.5561533965837635,6.239492588028993,4.662816322082297,3.2644346693249764,1.6869646808175933,3.597653979922357,1.4967149645539457,4.761639833911208,5.1055708445106065,7.208703913953392,2.2329994512672466,1.7925240315624593
