Date,ASII.JK,BBCA.JK,TLKM.JK,TPIA.JK
2021-05-03,3862.385498046875,5714.89306640625,2440.6630859375,2449.8388671875
2021-05-04,3915.7822265625,5723.8369140625,2471.4599609375,2400.34716796875
2021-05-05,3933.58154296875,5746.1953125,2463.760986328125,2387.973876953125
2021-05-06,3862.385498046875,5746.1953125,2456.061767578125,2344.6689453125
2021-05-07,3791.18994140625,5723.8369140625,2456.061767578125,2313.736572265625
2021-05-10,3826.78759765625,5741.72412109375,2440.6630859375,2251.871826171875
2021-05-11,3719.99365234375,5795.384765625,2448.362548828125,2159.07470703125
2021-05-17,3684.3955078125,5813.271484375,2456.061767578125,2035.345947265625
2021-05-18,3666.596435546875,5714.89306640625,2448.362548828125,1973.481201171875
2021-05-19,3595.39990234375,5674.64697265625,2432.9638671875,1843.5655517578125
2021-05-20,3684.3955078125,5705.9501953125,2548.45263671875,1886.87060546875
2021-05-21,3595.39990234375,5688.06298828125,2517.65576171875,1973.481201171875
2021-05-24,3630.998291015625,5656.7607421875,2509.95654296875,1899.24365234375
2021-05-25,3613.19921875,5683.5908203125,2540.75341796875,1862.124755859375
2021-05-27,3666.596435546875,5607.57080078125,2602.347412109375,1893.05712890625
2021-05-28,3666.596435546875,5670.17578125,2517.65576171875,1874.4976806640625
2021-05-31,3737.7919921875,5701.478515625,2648.542724609375,1961.1082763671875
2021-06-02,3791.18994140625,5781.97021484375,2656.2421875,1961.1082763671875
2021-06-03,3808.98876953125,5902.70703125,2687.0390625,1923.989501953125
2021-06-04,3719.99365234375,5884.8193359375,2694.73828125,1936.3623046875
2021-06-07,3737.7919921875,5840.1025390625,2733.23486328125,1917.802978515625
2021-06-08,3755.5908203125,5750.66748046875,2694.73828125,1905.4300537109375
2021-06-09,3791.18994140625,5840.1025390625,2741.65380859375,1998.22705078125
2021-06-10,3844.5859375,5920.59375,2814.44091796875,1998.22705078125
2021-06-11,3755.5908203125,5786.44091796875,2806.353515625,1979.6676025390625
2021-06-14,3684.3955078125,5732.78076171875,2757.82861328125,2053.9052734375
2021-06-15,3666.596435546875,5786.44091796875,2782.09130859375,2307.5498046875
2021-06-16,3666.596435546875,5710.421875,2757.82861328125,2332.296142578125
2021-06-17,3630.998291015625,5661.23193359375,2709.30419921875,2369.414794921875
2021-06-18,3559.802490234375,5656.7607421875,2709.30419921875,2338.482177734375
2021-06-21,3502.845458984375,5589.6845703125,2668.866455078125,2332.296142578125
2021-06-22,3502.845458984375,5670.17578125,2668.866455078125,2418.90625
2021-06-23,3509.965576171875,5571.7978515625,2725.478759765625,2475.323974609375
2021-06-24,3517.084716796875,5553.91015625,2628.428955078125,2475.323974609375
2021-06-25,3502.845458984375,5536.02294921875,2628.428955078125,2500.20166015625
2021-06-28,3353.33349609375,5415.28662109375,2563.729248046875,2425.568603515625
2021-06-29,3445.888427734375,5406.34228515625,2555.641845703125,2419.34912109375
2021-06-30,3517.084716796875,5388.455078125,2547.554443359375,2444.226806640625
2021-07-01,3577.601806640625,5388.455078125,2515.20458984375,2450.4462890625
2021-07-02,3559.802490234375,5455.53173828125,2482.8544921875,2425.568603515625
2021-07-05,3517.084716796875,5464.4755859375,2458.592041015625,2375.8134765625
2021-07-06,3488.6064453125,5415.28662109375,2434.330078125,2375.8134765625
2021-07-07,3488.6064453125,5424.22998046875,2450.504638671875,2444.226806640625
2021-07-08,3474.3671875,5379.51220703125,2434.330078125,2438.00732421875
2021-07-09,3495.7255859375,5383.984375,2555.641845703125,2469.1044921875
2021-07-12,3502.845458984375,5518.13671875,2531.379638671875,2487.7626953125
2021-07-13,3488.6064453125,5406.34228515625,2482.8544921875,2456.665771484375
2021-07-14,3367.572998046875,5357.154296875,2474.76708984375,2450.4462890625
2021-07-15,3424.530029296875,5468.94775390625,2531.379638671875,2425.568603515625
2021-07-16,3474.3671875,5464.4755859375,2563.729248046875,2382.03271484375
2021-07-19,3403.1708984375,5370.5693359375,2604.1669921875,2263.864013671875
2021-07-21,3467.24755859375,5375.04052734375,2596.079345703125,2214.108642578125
2021-07-22,3545.563232421875,5504.7216796875,2636.5166015625,2207.889404296875
2021-07-23,3524.204345703125,5397.3994140625,2563.729248046875,2176.79248046875
2021-07-26,3396.051025390625,5370.5693359375,2579.904052734375,2176.79248046875
2021-07-27,3388.93212890625,5370.5693359375,2644.60400390625,2189.231201171875
2021-07-28,3353.33349609375,5348.20947265625,2579.904052734375,2201.670166015625
2021-07-29,3310.615478515625,5401.87109375,2612.25439453125,2257.644775390625
2021-07-30,3360.452880859375,5339.26611328125,2620.341796875,2338.496826171875
2021-08-02,3431.6494140625,5330.32275390625,2676.9541015625,2313.619140625
2021-08-03,3517.084716796875,5495.77734375,2693.129150390625,2326.058349609375
2021-08-04,3488.6064453125,5473.41943359375,2725.478759765625,2344.71630859375
2021-08-05,3481.486328125,5634.40185546875,2701.216552734375,2326.058349609375
2021-08-06,3517.084716796875,5509.193359375,2685.04150390625,2332.277587890625
2021-08-09,3460.127685546875,5544.966796875,2628.428955078125,2288.741455078125
2021-08-10,3495.7255859375,5634.40185546875,2612.25439453125,2288.741455078125
2021-08-12,3517.084716796875,5634.40185546875,2709.30419921875,2276.302734375
2021-08-13,3577.601806640625,5732.78076171875,2668.866455078125,2301.1806640625
2021-08-16,3613.19921875,5741.72412109375,2701.216552734375,2245.205810546875
2021-08-18,3719.99365234375,5902.70703125,2765.916259765625,2263.864013671875
2021-08-19,3666.596435546875,5902.70703125,2741.65380859375,2226.547607421875
2021-08-20,3630.998291015625,5902.70703125,2749.7412109375,2232.766845703125
2021-08-23,3630.998291015625,5893.76318359375,2782.09130859375,2201.670166015625
2021-08-24,3613.19921875,5902.70703125,2749.7412109375,2139.475830078125
2021-08-25,3666.596435546875,5902.70703125,2725.478759765625,2139.475830078125
2021-08-26,3630.998291015625,5866.9326171875,2717.391357421875,2133.256591796875
2021-08-27,3595.39990234375,5822.2158203125,2685.04150390625,2083.501220703125
2021-08-30,3755.5908203125,5871.4052734375,2749.7412109375,2151.91455078125
2021-08-31,3719.99365234375,5857.990234375,2749.7412109375,1952.8936767578125
2021-09-01,3684.3955078125,5871.4052734375,2701.216552734375,1909.3577880859375
2021-09-02,3737.7919921875,5849.04638671875,2725.478759765625,1890.69970703125
2021-09-03,3808.98876953125,5902.70703125,2741.65380859375,1878.2607421875
2021-09-06,3862.385498046875,5880.34765625,2741.65380859375,1840.9443359375
2021-09-07,3808.98876953125,5875.8759765625,2733.56640625,1772.53076171875
2021-09-08,3737.7919921875,5759.611328125,2693.129150390625,1735.2144775390625
2021-09-09,3880.1845703125,5875.8759765625,2741.65380859375,1704.117431640625
2021-09-10,3862.385498046875,5831.1591796875,2693.129150390625,1791.1890869140625
2021-09-13,3880.1845703125,5862.46142578125,2709.30419921875,1753.87255859375
2021-09-14,3933.58154296875,5853.517578125,2782.09130859375,1760.092041015625
2021-09-15,3844.5859375,5808.80078125,2790.1787109375,1741.4337158203125
2021-09-16,3826.78759765625,5813.271484375,2782.09130859375,1859.6025390625
2021-09-17,3862.385498046875,5831.1591796875,2854.87841796875,1853.3831787109375
2021-09-20,3773.390380859375,5889.2919921875,2846.791015625,1803.6278076171875
2021-09-21,3719.99365234375,5804.328125,2854.87841796875,1834.724853515625
2021-09-22,3755.5908203125,5862.46142578125,2903.4033203125,1803.6278076171875
2021-09-23,3666.596435546875,5884.8193359375,2879.140869140625,1791.1890869140625
2021-09-24,3666.596435546875,5889.2919921875,2879.140869140625,1791.1890869140625
2021-09-27,3684.3955078125,5884.8193359375,2846.791015625,1778.7503662109375
2021-09-28,3613.19921875,5831.1591796875,2854.87841796875,1772.53076171875
2021-09-29,3791.18994140625,5884.8193359375,2854.87841796875,1753.87255859375
2021-09-30,3915.7822265625,6260.44677734375,2984.278076171875,1791.1890869140625
2021-10-01,3880.1845703125,6045.802734375,2960.015625,1753.87255859375
2021-10-04,3969.1796875,6224.67236328125,2968.103271484375,1772.53076171875
2021-10-05,3951.380615234375,6211.25732421875,2968.103271484375,1741.4337158203125
2021-10-06,4253.9638671875,6421.4296875,3040.890625,1809.84716796875
2021-10-07,4058.174560546875,6403.54296875,3008.54052734375,1803.6278076171875
2021-10-08,4233.99267578125,6519.80859375,3073.240234375,1822.2860107421875
2021-10-11,4144.28955078125,6488.50537109375,3081.32763671875,1760.092041015625
2021-10-12,4216.052734375,6546.638671875,3057.065185546875,1753.87255859375
2021-10-13,4503.10302734375,6729.97998046875,3048.977783203125,1728.9949951171875
2021-10-14,4467.22119140625,6931.20947265625,3097.5029296875,1797.408447265625
2021-10-15,4485.162109375,6841.77392578125,3081.32763671875,1778.7503662109375
2021-10-18,4467.22119140625,6729.97998046875,3065.15283203125,1791.1890869140625
2021-10-19,4556.9248046875,6707.62109375,3024.715576171875,1803.6278076171875
2021-10-21,4413.3994140625,6618.18701171875,3113.677734375,1784.9696044921875
2021-10-22,4431.33984375,6729.97998046875,3129.8525390625,1872.041259765625
