Date,Asset_A,Asset_B,QMI,J_value
2022-07-22,ASII.JK,TLKM.JK,0.01045401915335642,0.01045401915335642
2022-07-22,ASII.JK,TPIA.JK,0.008322185322105824,0.008322185322105824
2022-07-22,TLKM.JK,TPIA.JK,0.01877146889805359,0.01877146889805359
2022-08-23,BBCA.JK,ASII.JK,0.007426427356723275,0.007426427356723275
2022-08-23,BBCA.JK,TLKM.JK,0.016763732287632616,0.016763732287632616
2022-08-23,BBCA.JK,TPIA.JK,0.0005056809102375048,0.0005056809102375048
2022-08-23,ASII.JK,TLKM.JK,0.0007567038522506842,0.0007567038522506842
2022-08-23,ASII.JK,TPIA.JK,0.004862922126362301,0.004862922126362301
2022-08-23,TLKM.JK,TPIA.JK,0.00042186079782635666,0.00042186079782635666
2022-09-21,BBCA.JK,ASII.JK,0.012191250803383014,0.012191250803383014
2022-09-21,BBCA.JK,TLKM.JK,0.015795898980949463,0.015795898980949463
2022-09-21,BBCA.JK,TPIA.JK,0.0011977005980752242,0.0011977005980752242
2022-09-21,ASII.JK,TLKM.JK,0.0015362925495918667,0.0015362925495918667
2022-09-21,ASII.JK,TPIA.JK,0.01504623986305309,0.01504623986305309
2022-09-21,TLKM.JK,TPIA.JK,0.0013005212123176069,0.0013005212123176069
2022-10-20,BBCA.JK,ASII.JK,4.331673955482174e-05,4.331673955482174e-05
2022-10-20,BBCA.JK,TLKM.JK,0.056863595632517416,0.056863595632517416
2022-10-20,BBCA.JK,TPIA.JK,0.01504623986305309,0.01504623986305309
2022-10-20,ASII.JK,TLKM.JK,-2.220446049250313e-16,-2.220446049250313e-16
2022-10-20,ASII.JK,TPIA.JK,0.007619036338755603,0.007619036338755603
2022-10-20,TLKM.JK,TPIA.JK,0.001924545034307057,0.001924545034307057
2022-11-18,BBCA.JK,ASII.JK,0.00834601601472218,0.00834601601472218
2022-11-18,BBCA.JK,TLKM.JK,0.06227391484659206,0.06227391484659206
2022-11-18,BBCA.JK,TPIA.JK,0.0038196757178130536,0.0038196757178130536
2022-11-18,ASII.JK,TLKM.JK,0.0002626930448095255,0.0002626930448095255
2022-11-18,ASII.JK,TPIA.JK,0.004634882493334436,0.004634882493334436
2022-11-18,TLKM.JK,TPIA.JK,1.8075569860886986e-06,1.8075569860886986e-06
2022-12-19,BBCA.JK,ASII.JK,0.0009209548073225715,0.0009209548073225715
2022-12-19,BBCA.JK,TLKM.JK,0.035845164893145265,0.035845164893145265
2022-12-19,BBCA.JK,TPIA.JK,0.003558060974335975,0.003558060974335975
2022-12-19,ASII.JK,TLKM.JK,0.0009711126461235953,0.0009711126461235953
2022-12-19,ASII.JK,TPIA.JK,0.000934750188940292,0.000934750188940292
2022-12-19,TLKM.JK,TPIA.JK,0.0020372879012233724,0.0020372879012233724
2023-01-17,BBCA.JK,ASII.JK,0.0030963208931942265,0.0030963208931942265
2023-01-17,BBCA.JK,TLKM.JK,0.006452656383625577,0.006452656383625577
2023-01-17,BBCA.JK,TPIA.JK,0.0033126209977907273,0.0033126209977907273
2023-01-17,ASII.JK,TLKM.JK,0.0007352245095317844,0.0007352245095317844
2023-01-17,ASII.JK,TPIA.JK,0.01014843630953055,0.01014843630953055
2023-01-17,TLKM.JK,TPIA.JK,0.01258417478780105,0.01258417478780105
2023-02-16,BBCA.JK,ASII.JK,0.007347127881063509,0.007347127881063509
2023-02-16,BBCA.JK,TLKM.JK,0.006216826114822549,0.006216826114822549
2023-02-16,BBCA.JK,TPIA.JK,0.0027060408434782524,0.0027060408434782524
2023-02-16,ASII.JK,TLKM.JK,0.025906554202326015,0.025906554202326015
2023-02-16,ASII.JK,TPIA.JK,0.012769914958357775,0.012769914958357775
2023-02-16,TLKM.JK,TPIA.JK,0.0411392499708767,0.0411392499708767
2023-03-17,BBCA.JK,ASII.JK,0.019220178123541487,0.019220178123541487
2023-03-17,BBCA.JK,TLKM.JK,0.0007224105191034891,0.0007224105191034891
