Date,Ticker,Bias_h_Obj,Bias_h_Pen
2022-01-10,ADRO.JK,0.0736880859874382,-0.0
2022-02-09,BBCA.JK,0.15518235141669673,-0.0
2022-02-09,TLKM.JK,0.0545102335758509,-0.0
2022-02-09,SMGR.JK,-0.035561102157695076,-0.0
2022-02-09,ADRO.JK,0.07148502126670048,-0.0
2022-03-14,BBCA.JK,0.2352513881583595,-0.0
2022-03-14,TLKM.JK,0.05361471793828644,-0.0
2022-03-14,SMGR.JK,-0.0580508595095332,-0.0
2022-03-14,ADRO.JK,0.08523368121076287,-0.0
2022-04-12,BBCA.JK,0.1552992205272757,-0.0
2022-04-12,TLKM.JK,0.022425692987228553,-0.0
2022-04-12,SMGR.JK,-0.04118929618709321,-0.0
2022-04-12,ADRO.JK,0.05072962071777267,-0.0
2022-05-23,BBCA.JK,0.21260048064405107,-0.0
2022-05-23,TLKM.JK,-0.0010781884941713227,-0.0
2022-05-23,SMGR.JK,-0.09070864333697187,-0.0
2022-05-23,ADRO.JK,0.034444402439879916,-0.0
2022-06-23,BBCA.JK,0.15717530676409713,-0.0
2022-06-23,TLKM.JK,0.011232952862326503,-0.0
2022-06-23,SMGR.JK,-0.015893538753466527,-0.0
2022-06-23,ADRO.JK,0.005661608713754312,-0.0
2022-07-22,BBCA.JK,0.0831044520558843,-0.0
2022-07-22,TLKM.JK,-0.0006772715865158458,-0.0
2022-07-22,SMGR.JK,-0.007911241725445424,-0.0
2022-07-22,ADRO.JK,0.02134525424528313,-0.0
2022-08-23,BBCA.JK,0.11564262894536223,-0.0
2022-08-23,TLKM.JK,0.007664346818692171,-0.0
2022-08-23,SMGR.JK,-0.012599890187002936,-0.0
2022-08-23,ADRO.JK,0.03292406272618733,-0.0
2022-09-21,BBCA.JK,0.10605099635321107,-0.0
2022-09-21,TLKM.JK,0.020415948560285082,-0.0
2022-09-21,SMGR.JK,0.02744071421928737,-0.0
2022-09-21,ADRO.JK,0.006001695037737626,-0.0
2022-10-20,BBCA.JK,0.07273934982302527,-0.0
2022-10-20,TLKM.JK,0.01716848854820374,-0.0
2022-10-20,SMGR.JK,0.05785769523543188,-0.0
2022-10-20,ADRO.JK,-0.01295132150531328,-0.0
2022-11-18,BBCA.JK,0.04250005991606892,-0.0
2022-11-18,TLKM.JK,0.04431255084796716,-0.0
2022-11-18,SMGR.JK,0.045086429594161155,-0.0
2022-11-18,ADRO.JK,0.007251326815879906,-0.0
2022-12-19,BBCA.JK,0.07801118790926556,-0.0
2022-12-19,TLKM.JK,0.036744229256952234,-0.0
2022-12-19,SMGR.JK,-0.004433687340616939,-0.0
2022-12-19,ADRO.JK,-0.02787669334980971,-0.0
2023-01-17,BBCA.JK,0.03002241393489294,-0.0
2023-01-17,TLKM.JK,0.02973926930874581,-0.0
2023-01-17,SMGR.JK,0.03696474792073967,-0.0
2023-01-17,ADRO.JK,-0.02075603261264812,-0.0
2023-02-16,BBCA.JK,-0.008077490740746752,-0.0
2023-02-16,TLKM.JK,0.032491526978332866,-0.0
2023-02-16,SMGR.JK,0.03916727155475341,-0.0
2023-02-16,ADRO.JK,-0.049145429556318586,-0.0
2023-03-17,BBCA.JK,-0.07508147966946523,-0.0
2023-03-17,TLKM.JK,-0.0022070043447946523,-0.0
2023-03-17,SMGR.JK,-0.03976160784041164,-0.0
2023-03-17,ADRO.JK,-0.019725920372303224,-0.0
2023-04-27,BBCA.JK,-0.04047429118891236,-0.0
2023-04-27,TLKM.JK,0.02800553557564102,-0.0
2023-04-27,SMGR.JK,-0.05899191701572844,-0.0
2023-04-27,ADRO.JK,0.0057148345625161285,-0.0
2023-05-30,BBCA.JK,-0.08766854030120427,-0.0
2023-05-30,TLKM.JK,0.0171016904206459,-0.0
2023-05-30,SMGR.JK,-0.05100043497754471,-0.0
2023-05-30,ADRO.JK,0.014526996401137226,-0.0
2023-07-05,BBCA.JK,-0.08196101479708048,-0.0
2023-07-05,TLKM.JK,0.017975632631478698,-0.0
2023-07-05,SMGR.JK,-0.018727352974269106,-0.0
2023-07-05,ADRO.JK,0.028896441971336177,-0.0
2023-08-04,BBCA.JK,-0.03887751464280966,-0.0
2023-08-04,TLKM.JK,0.03282713415309421,-0.0
2023-08-04,SMGR.JK,0.015088680817242723,-0.0
2023-08-04,ADRO.JK,-0.002968151060755068,-0.0
2023-09-05,BBCA.JK,0.01636313418796626,-0.0
2023-09-05,TLKM.JK,0.02072534029470267,-0.0
2023-09-05,SMGR.JK,-0.011997341286084802,-0.0
2023-09-05,ADRO.JK,0.009250023647217307,-0.0
2023-10-05,BBCA.JK,0.02173756848426469,-0.0
2023-10-05,TLKM.JK,0.02967042059732408,-0.0
2023-10-05,SMGR.JK,0.022177001776391654,-0.0
2023-10-05,ADRO.JK,-0.005504713759824097,-0.0
2023-11-03,BBCA.JK,-0.030662963468885328,-0.0
2023-11-03,TLKM.JK,-0.007271910822232585,-0.0
2023-11-03,SMGR.JK,0.02335557946084062,-0.0
2023-11-03,ADRO.JK,-0.03237725101411702,-0.0
2023-12-04,BBCA.JK,0.05434677944936604,-0.0
2023-12-04,TLKM.JK,-0.007218836071633593,-0.0
2023-12-04,SMGR.JK,0.029761129805005032,-0.0
2023-12-04,ADRO.JK,-0.006368002314955861,-0.0
