Date,VQE,Nash,Benchmark
2021-01-20,98128407.02461092,100000000.0,99871926.27970773
2021-01-21,97161360.99169925,100000000.0,99386884.82606274
2021-01-22,94701890.87129566,100000000.0,97530734.13977909
2021-01-25,91320798.70987645,100000000.0,95532331.01123017
2021-01-26,90018645.49149284,100000000.0,93306895.59707604
2021-01-27,88807349.77408391,100000000.0,93451120.49198909
2021-01-28,86068124.1339168,100000000.0,91480977.55009866
2021-01-29,83384230.08142683,100000000.0,88695728.05931345
2021-02-01,88093079.69761455,100000000.0,92129214.28892341
2021-02-02,84775873.94736539,100000000.0,90683991.38782316
2021-02-03,83425856.29506215,100000000.0,89895965.05931967
2021-02-04,82281477.92056492,100000000.0,89780931.4495735
2021-02-05,86290414.07696888,100000000.0,92016121.32155924
2021-02-08,85869447.1007484,100000000.0,91736991.69482973
2021-02-09,84935549.99270457,100000000.0,90913346.80051208
2021-02-10,85162984.31903183,100000000.0,90748652.79004738
2021-02-11,85305723.74754678,100000000.0,90661266.9714728
2021-02-15,86176710.97551215,100000000.0,91030873.52123669
2021-02-16,85419431.29231715,100000000.0,91087180.21453679
2021-02-17,84166187.36169696,100000000.0,89896215.47751608
2021-02-18,82925028.3478379,100000000.0,88874971.19486046
2021-02-19,83295200.13373159,100000000.0,89604372.33641943
2021-02-22,83483906.09386683,100000000.0,89257971.65440471
2021-02-23,83016969.79228918,100000000.0,91299970.64650705
2021-02-24,81633074.96844044,100000000.0,90314285.25895013
2021-02-25,82356471.89261614,100000000.0,90669904.32700041
2021-02-26,81166128.63607535,100000000.0,90096040.96868758
2021-03-01,83181489.79522431,100000000.0,92351597.00931057
2021-03-02,87149311.12007108,100000000.0,94064735.06256951
2021-03-03,85697671.664547,100000000.0,93121078.88696921
2021-03-04,86450103.77162078,100000000.0,91876739.66008914
2021-03-05,84518302.71378493,100000000.0,91195531.67647175
2021-03-08,84598442.55027004,100000000.0,90413555.84031118
2021-03-09,83600906.48199695,100000000.0,89612042.91384809
2021-03-10,85193169.80970272,100000000.0,91448112.0194034
2021-03-12,87253603.72143734,100000000.0,92961521.76309213
2021-03-15,87238856.2610226,100000000.0,91927464.39311476
2021-03-16,86450103.77162078,100000000.0,91380153.29453254
2021-03-17,87190336.2722228,100000000.0,91612604.84840724
2021-03-18,89379435.70331834,100000000.0,93673594.8773135
2021-03-19,90313704.3223769,100000000.0,95163521.60957217
2021-03-22,89010376.86343044,100000000.0,93566310.83923979
2021-03-23,89284536.73547333,100000000.0,93032287.2707294
2021-03-24,86755895.16229415,100000000.0,91656258.21402735
2021-03-25,86561878.75623216,100000000.0,90846099.68989964
2021-03-26,88122503.30631585,100000000.0,91443881.43083599
2021-03-29,86561878.75623216,100000000.0,90561015.0071412
2021-03-30,85113035.16762897,100000000.0,89411953.87803024
2021-03-31,85627614.54912718,100000000.0,88145476.08575207
2021-04-01,85418826.55830234,100000000.0,88053061.34407626
2021-04-05,85467342.91760634,100000000.0,87562801.0008012
2021-04-06,86224431.7225802,100000000.0,88106392.48103835
2021-04-07,86504338.08797066,100000000.0,88754319.32938585
2021-04-08,86750126.32344583,100000000.0,88927226.56713967
2021-04-09,86895390.53336675,100000000.0,88776970.30459946
2021-04-12,84351162.39972521,100000000.0,86577337.39488998
2021-04-13,87040650.3559082,100000000.0,87300205.33820036
2021-04-14,89496395.7141877,100000000.0,90218136.20417209
2021-04-15,88799969.45135683,100000000.0,89727162.68981792
2021-04-16,88059297.22230576,100000000.0,89268350.36218129
2021-04-19,86851149.33684543,100000000.0,88650936.05630295
2021-04-20,87124335.98777008,100000000.0,88630968.12609777
2021-04-21,86189379.1406139,100000000.0,87796406.78682587
2021-04-22,86299978.12685713,100000000.0,87915089.16062242
2021-04-23,86361552.31753671,100000000.0,89088214.67817904
2021-04-26,86123021.73321137,100000000.0,88693904.94797519
2021-04-27,84019369.82837495,100000000.0,88038676.04044707
2021-04-28,84715800.4785853,100000000.0,88121670.40185371
2021-04-29,85589183.13506192,100000000.0,89623177.49703479
2021-04-30,85060137.67535257,100000000.0,89179698.42337513
2021-05-03,83618260.35412717,100000000.0,88317033.29334939
2021-05-04,83600914.1978305,100000000.0,88559355.09424534
2021-05-05,83896230.98641357,100000000.0,88987603.86652902
2021-05-06,83545203.50961472,100000000.0,88481414.6147919
2021-05-07,83381989.52219054,100000000.0,87933088.77991995
2021-05-10,83863594.14184156,100000000.0,88349183.36012167
2021-05-11,84255318.12925702,100000000.0,88592719.22482777
2021-05-17,84034871.51588085,100000000.0,88152108.79271263
2021-05-18,83843237.05802822,100000000.0,87539676.30111651
2021-05-19,82671864.68667918,100000000.0,86269678.80276765
2021-05-20,82724855.52505569,100000000.0,87889492.7053296
2021-05-21,82418755.81529906,100000000.0,87235568.26035953
2021-05-24,82014733.77955317,100000000.0,86538420.92920564
2021-05-25,82561634.09649049,100000000.0,87472021.48707461
2021-05-27,81831162.39303483,100000000.0,87841603.80178094
2021-05-28,82463697.51878086,100000000.0,87707716.31501998
2021-05-31,83394273.31880055,100000000.0,89519425.09424582
2021-06-02,86439082.6004037,100000000.0,92663015.0090725
2021-06-03,86969455.18898913,100000000.0,93521925.76260036
2021-06-04,86136805.75081,100000000.0,92802130.62576176
2021-06-07,84932792.49903762,100000000.0,92571871.34971493
2021-06-08,84455415.09996086,100000000.0,91477930.99428953
2021-06-09,85283823.38112617,100000000.0,92831645.13157272
2021-06-10,85695905.39819747,100000000.0,93600062.12476403
2021-06-11,84601904.70915395,100000000.0,94873625.28955787
2021-06-14,83474797.46570866,100000000.0,94077325.07949874
2021-06-15,84232523.10350232,100000000.0,94304052.97661367
2021-06-16,83312982.08889887,100000000.0,95305318.49614216
2021-06-17,82218241.20308334,100000000.0,93316614.44144492
2021-06-18,82185878.86540857,100000000.0,92481580.81926672
2021-06-21,81084811.8108229,100000000.0,91576075.55901057
2021-06-22,81667333.88896847,100000000.0,91393124.5867978
2021-06-23,81817237.12500998,100000000.0,90967531.17935017
2021-06-24,80210273.74308845,100000000.0,89768865.61956088
2021-06-25,80080828.08082545,100000000.0,90420461.21329403
2021-06-28,78222023.66010007,100000000.0,87600615.60992005
2021-06-29,78034176.13434067,100000000.0,87631627.47066732
2021-06-30,77781599.2502388,100000000.0,87148893.29682656
2021-07-01,77289098.48261331,100000000.0,86645424.14030811
