Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2021-06-03,393.2335205078125,872.3054809570312,3625.906005859375,5655.146484375,2819.540771484375,2404.49658203125,7794.88916015625,1354.1153564453125,9285.4921875,2687.0390625,1923.989501953125,13867.482421875
2021-06-04,386.9417724609375,872.3054809570312,3541.18896484375,5638.0087890625,2806.607421875,2356.406494140625,7570.8984375,1340.5740966796875,9131.4677734375,2694.73828125,1936.3624267578125,13794.189453125
2021-06-07,379.0770263671875,872.3054809570312,3558.13232421875,5595.16650390625,2748.4052734375,2356.406494140625,7481.3017578125,1349.6015625,9153.4716796875,2733.234619140625,1917.802978515625,13471.6875
2021-06-08,380.6499938964844,929.820068359375,3575.075439453125,5509.48291015625,2716.071533203125,2308.31640625,7324.50830078125,1333.9620361328125,8955.439453125,2694.73828125,1905.43017578125,13735.5498046875
2021-06-09,382.2229309082031,1068.81396484375,3608.962646484375,5595.16650390625,2729.005126953125,2366.0244140625,7302.10888671875,1324.76220703125,9153.4716796875,2741.65380859375,1998.22705078125,13706.2333984375
2021-06-10,380.6499938964844,1179.05029296875,3659.793212890625,5672.2822265625,2780.739990234375,2385.260498046875,7302.10888671875,1324.76220703125,9087.4609375,2814.441162109375,1998.22705078125,13251.802734375
2021-06-11,413.6816711425781,1164.671630859375,3575.075439453125,5543.75634765625,2767.805908203125,2414.1142578125,7324.50830078125,1333.9620361328125,9087.4609375,2806.353759765625,1979.667724609375,13471.6875
2021-06-14,416.82745361328125,1111.9498291015625,3507.302001953125,5492.34619140625,2813.073974609375,2414.1142578125,7302.10888671875,1320.1622314453125,8955.439453125,2757.828857421875,2053.905029296875,13193.1640625
2021-06-15,412.1086730957031,1116.74267578125,3490.358154296875,5543.75634765625,2735.471923828125,2433.350341796875,7302.10888671875,1333.9620361328125,8977.443359375,2782.09130859375,2307.55029296875,12929.3037109375
2021-06-16,438.8486328125,1179.05029296875,3490.358154296875,5470.9248046875,2593.201416015625,2414.1142578125,7324.50830078125,1310.9625244140625,8977.443359375,2757.828857421875,2332.2958984375,13281.1201171875
2021-06-17,426.2651062011719,1188.6361083984375,3456.470947265625,5423.7978515625,2606.135009765625,2385.260498046875,7279.70947265625,1292.563232421875,8713.400390625,2709.303955078125,2369.414794921875,12899.984375
2021-06-18,412.1086730957031,1193.428955078125,3388.69775390625,5419.5146484375,2528.533447265625,2385.260498046875,6943.72314453125,1251.164306640625,8713.400390625,2709.303955078125,2338.482666015625,13354.4150390625
