Date,BBCA.JK,BMRI.JK,SMGR.JK,TLKM.JK
2020-09-14,5096.783203125,2139.136962890625,8511.6689453125,2225.083984375
2020-09-15,4936.71826171875,2111.235107421875,8317.2412109375,2178.888427734375
2020-09-16,4844.048828125,2101.934814453125,8122.8115234375,2148.09130859375
2020-09-17,4848.26171875,2074.033203125,8036.3974609375,2171.189208984375
2020-09-18,4742.95654296875,2074.033203125,8058.00244140625,2225.083984375
2020-09-21,4721.8955078125,2036.8306884765625,7949.98583984375,2163.489990234375
2020-09-22,4591.31689453125,1971.7264404296875,7798.76220703125,2140.39208984375
2020-09-23,4637.650390625,1934.524169921875,7690.74609375,2155.790771484375
2020-09-24,4587.1044921875,1888.0211181640625,7604.33349609375,2101.89599609375
2020-09-25,4726.10791015625,1990.3277587890625,7604.33349609375,2071.098876953125
2020-09-28,4646.0751953125,1915.923095703125,7885.17578125,2048.001220703125
2020-09-29,4637.650390625,1888.0211181640625,7863.57177734375,2024.9033203125
2020-09-30,4566.04345703125,1845.23828125,7928.38134765625,1971.0089111328125
2020-10-01,4692.4091796875,1934.524169921875,8274.0341796875,2117.294677734375
2020-10-02,4637.650390625,1934.524169921875,8166.0185546875,2063.399658203125
2020-10-05,4650.2880859375,1990.3277587890625,8166.0185546875,2040.3018798828125
2020-10-06,4801.9267578125,2046.131103515625,8144.41455078125,2040.3018798828125
2020-10-07,4848.26171875,2064.732666015625,8187.62060546875,2048.001220703125
2020-10-08,4869.32275390625,2027.5302734375,8338.84375,2078.79833984375
2020-10-09,4865.10986328125,2064.732666015625,8101.20849609375,2101.89599609375
2020-10-12,4932.5068359375,2092.63427734375,8122.8115234375,2101.89599609375
2020-10-13,4932.5068359375,2111.235107421875,8079.60546875,2101.89599609375
2020-10-14,4970.416015625,2148.437744140625,8036.3974609375,2163.489990234375
2020-10-15,4873.53466796875,2083.333984375,7863.57177734375,2140.39208984375
2020-10-16,4852.4736328125,2074.033203125,7928.38134765625,2117.294677734375
2020-10-19,4970.416015625,2120.5361328125,7928.38134765625,2086.49755859375
2020-10-20,4890.384765625,2101.934814453125,8187.62060546875,2055.700439453125
2020-10-21,4869.32275390625,2055.431884765625,8209.2255859375,2063.399658203125
2020-10-22,4886.17236328125,2027.5302734375,8058.00244140625,2078.79833984375
2020-10-23,4860.8984375,2064.732666015625,8144.41455078125,2024.9033203125
2020-10-26,4898.80859375,2148.437744140625,8295.6376953125,2040.3018798828125
2020-10-27,4877.7470703125,2148.437744140625,8274.0341796875,2017.2041015625
2020-11-02,4903.0205078125,2222.8427734375,7885.17578125,1971.0089111328125
2020-11-03,4961.9912109375,2232.143310546875,7712.34912109375,1986.4072265625
2020-11-04,4903.0205078125,2120.5361328125,7885.17578125,1986.4072265625
2020-11-05,5181.02734375,2222.8427734375,8598.08203125,2132.69287109375
2020-11-06,5307.392578125,2250.744384765625,8943.734375,2178.888427734375
2020-11-09,5294.75634765625,2287.94677734375,8835.7177734375,2217.384765625
2020-11-10,5459.033203125,2371.652099609375,9159.7666015625,2201.986328125
2020-11-11,5509.580078125,2371.652099609375,9678.2431640625,2371.369873046875
2020-11-12,5408.486328125,2297.24755859375,9786.259765625,2340.57275390625
2020-11-13,5383.212890625,2325.1494140625,9678.2431640625,2302.076416015625
2020-11-16,5459.033203125,2306.5478515625,9462.2109375,2363.670654296875
2020-11-17,5518.00390625,2325.1494140625,9483.8134765625,2479.159423828125
2020-11-18,5534.8525390625,2362.351806640625,9635.0361328125,2448.3623046875
2020-11-19,5572.7626953125,2353.05078125,9635.0361328125,2440.6630859375
2020-11-20,5560.12646484375,2343.75048828125,9807.861328125,2479.159423828125
2020-11-23,5560.12646484375,2380.952880859375,10455.9599609375,2556.152099609375
2020-11-24,5530.64111328125,2390.253173828125,10131.9091796875,2579.249755859375
2020-11-25,5400.06201171875,2427.455810546875,10283.1328125,2525.35498046875
2020-11-26,5459.033203125,2501.860595703125,10304.736328125,2671.640625
2020-11-27,5379.00146484375,2473.958984375,10304.736328125,2663.941162109375
2020-11-30,5227.36181640625,2353.05078125,10110.306640625,2486.858642578125
2020-12-01,5387.42578125,2427.455810546875,10369.546875,2494.5576171875
2020-12-02,5433.75927734375,2473.958984375,10326.3408203125,2563.85107421875
2020-12-03,5442.1845703125,2446.05712890625,10369.546875,2540.75341796875
2020-12-04,5383.212890625,2455.357421875,10088.7041015625,2502.257080078125
2020-12-07,5492.73095703125,2492.559814453125,10153.513671875,2563.85107421875
2020-12-08,5467.4580078125,2483.25927734375,10002.291015625,2540.75341796875
2020-12-10,5555.84375,2529.76220703125,10110.306640625,2509.956298828125
2020-12-11,5691.04345703125,2520.46142578125,9915.87890625,2525.35498046875
2020-12-14,5762.8681640625,2501.860595703125,10369.546875,2556.152099609375
2020-12-15,5737.51806640625,2492.559814453125,10585.5791015625,2656.241943359375
2020-12-16,5872.71728515625,2520.46142578125,10888.0224609375,2779.43017578125
2020-12-17,5860.04248046875,2557.6640625,11168.8662109375,2725.535400390625
2020-12-18,5745.9677734375,2492.559814453125,10844.8173828125,2702.4375
2020-12-21,5771.318359375,2492.559814453125,10801.6103515625,2710.136962890625
2020-12-22,5674.14306640625,2380.952880859375,10758.404296875,2586.948974609375
2020-12-23,5682.59423828125,2362.351806640625,10671.9912109375,2556.152099609375
2020-12-28,5729.06884765625,2427.455810546875,10844.8173828125,2640.84375
2020-12-29,5716.39306640625,2390.253173828125,10866.419921875,2633.14453125
2020-12-30,5720.61865234375,2353.05078125,10736.8017578125,2548.45263671875
2021-01-04,5775.54345703125,2418.155029296875,10866.419921875,2687.038818359375
2021-01-05,5991.01708984375,2390.253173828125,10715.1982421875,2671.640625
2021-01-06,5868.49267578125,2390.253173828125,10391.1494140625,2594.6484375
2021-01-07,5885.39208984375,2408.8544921875,10628.7861328125,2610.046630859375
2021-01-08,5957.216796875,2436.75634765625,10650.388671875,2748.63330078125
2021-01-11,6206.49072265625,2548.36328125,10391.1494140625,2771.73095703125
2021-01-12,6050.166015625,2585.565673828125,10477.5634765625,2702.4375
2021-01-13,6016.36669921875,2576.265380859375,10412.75390625,2679.33984375
2021-01-14,5931.86669921875,2548.36328125,10304.736328125,2694.73828125
2021-01-15,5876.9423828125,2501.860595703125,10326.3408203125,2679.33984375
2021-01-18,6016.36669921875,2576.265380859375,10931.23046875,2656.241943359375
2021-01-19,5995.2421875,2594.866455078125,10715.1982421875,2625.4453125
2021-01-20,5995.2421875,2743.676025390625,10758.404296875,2671.640625
2021-01-21,5978.341796875,2697.1728515625,10585.5791015625,2679.33984375
2021-01-22,5982.56591796875,2678.57177734375,10499.166015625,2610.046630859375
2021-01-25,5944.54248046875,2715.774169921875,10175.1162109375,2594.6484375
2021-01-26,5762.8681640625,2743.676025390625,10153.513671875,2509.956298828125
2021-01-27,5737.51806640625,2715.774169921875,10002.291015625,2602.347412109375
2021-01-28,5830.46728515625,2622.768310546875,9743.052734375,2494.5576171875
2021-01-29,5712.16796875,2446.05712890625,9159.7666015625,2394.467529296875
2021-02-01,5762.8681640625,2492.559814453125,9959.0849609375,2486.858642578125
2021-02-02,5745.9677734375,2408.8544921875,9462.2109375,2517.65576171875
2021-02-03,5767.0927734375,2418.155029296875,9397.4013671875,2494.5576171875
2021-02-04,5792.44287109375,2446.05712890625,9181.369140625,2533.053955078125
2021-02-05,5843.142578125,2436.75634765625,9721.44921875,2533.053955078125
2021-02-08,5847.36767578125,2446.05712890625,9548.623046875,2525.35498046875
2021-02-09,5898.06787109375,2418.155029296875,9419.00390625,2463.7607421875
