Depth,Theta_Index,Theta_Value
7,19,-0.5251051985496619
7,20,0.7726309089228526
7,21,0.09515694083670861
7,22,-0.5047828723193397
7,23,0.7626600402981039
7,24,-0.6258754272721224
7,25,-0.2518135300869945
7,26,-0.09980261024412605
7,27,-0.08006679318450696
7,28,0.6580132770708403
7,29,0.35593046948432794
7,30,0.08051211809534488
7,31,0.4204824291610636
7,32,1.1383035448214487
7,33,-0.33324945422768526
7,34,0.31952166205723
7,35,0.0048898929789582025
7,36,0.02852846649798335
7,37,-0.08992449564432768
7,38,-0.4942436405688838
7,39,-0.1378429035286331
7,40,-0.12705733675626396
7,41,0.076750733728316
7,42,-0.6877292898835394
7,43,-0.41167113690105217
7,44,0.14274240370846603
7,45,-0.13189246941225108
7,46,0.536527536894526
7,47,-0.24696107950323481
7,48,-0.0766231492489275
7,49,-0.11429780484304763
7,50,-0.005575787629217624
7,51,0.03723157661229589
7,52,0.19663669114267968
7,53,-0.08366047361297588
7,54,0.009483098922620455
7,55,0.07522014456284823
7,56,-0.8210054288755361
7,57,-0.14563071394846666
7,58,0.6431819578056684
7,59,-0.17283065162859035
7,60,-0.027664064870330168
7,61,0.17357976509888157
7,62,2.80690770047181
7,63,-0.38597509252155615
8,0,0.7666137337014581
8,1,0.20707856491954907
8,2,4.609927248239188
8,3,0.12294096833461787
8,4,3.388821935800976
8,5,0.224452978101356
8,6,1.365712963560437
8,7,0.019836720882122728
8,8,-1.8436116967621612
8,9,-0.22242570606351686
8,10,0.9386217714596886
8,11,-0.46574057908552413
8,12,-1.990781194477866
8,13,0.22148289157935397
8,14,1.8907460532117706
8,15,0.34976379862651397
8,16,-1.0137584797475676
8,17,-0.3477359170230988
8,18,-0.7027524614208428
8,19,-0.28158103639218146
8,20,0.5185164423153765
8,21,-0.007848794766339926
8,22,-0.5113852238220459
8,23,0.9181543291968248
8,24,-0.729358486107953
8,25,-0.03368059959514352
8,26,0.21029863762150347
8,27,0.013172074916776749
8,28,0.49816460091806014
8,29,0.4288742913665743
8,30,-0.06352087901184944
8,31,0.7468607416153806
8,32,1.0218292634934838
8,33,-0.11840507488363071
8,34,0.3832244050291692
8,35,0.010003414313665474
8,36,0.11443464504267127
8,37,0.0461646247466109
8,38,-0.5548570857314195
8,39,-0.08247172213097921
8,40,-0.1826971495597493
8,41,-0.08804356666703984
8,42,-0.838230618342145
8,43,-0.0908735476458521
8,44,0.25852524581303393
8,45,-0.2329900811421582
8,46,0.31487953547508596
8,47,-0.3748573241986506
8,48,-0.07445086688058432
8,49,-0.12870306357371805
8,50,-0.36793578420627293
8,51,0.06726123098871058
8,52,-0.20415388165110582
8,53,-0.2501234424413423
8,54,0.4080027270131039
8,55,0.04442221914954096
8,56,-0.07823329999790633
8,57,-0.22924748809493245
8,58,-0.3697473098198387
8,59,-0.10515977091862254
8,60,-0.010128468615370288
8,61,0.1293835852238035
8,62,-0.30612128682257533
8,63,-0.018288706765356752
8,64,-1.0503663440247712
8,65,-0.28810421809728637
8,66,0.7041715132730042
8,67,-0.5116490403445068
8,68,-0.2627072804441004
8,69,0.04589307139279468
8,70,2.60247005613027
8,71,-0.4734530761576927
